Date,Qualified Leads,Emails Enriched,Emails Sent,Positive Replies,Meetings Booked,Deals Closed,,,,
18 juli,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,Key Metrics,Current,KPI
,,,,,,,,Deals Closed,0,3
,,,,,,,,Meetings Booked,0,10/week
,,,,,,,,Positive Reply Rate,0.0%,12.5%
,,,,,,,,Emails Sent,0,100 mails / dag
,,,,,,,,Email Enrichment success ratio,0.0%,60%
,,,,,,,,Close Rate,0.0%,30%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,Assets Nodig,,
,,,,,,,,Using Lead Scraper,FALSE,
,,,,,,,,Sending Domein,FALSE,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,VA,$20 / dag,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,Mensen / SOP Nodig,Verantwoordelijkheid:,
,,,,,,,,Wisse,Software fixen & SOP maken,
,,,,,,,,Outbound VA,"leads sourcen, 100 qualified leads enrichen + personalized emails maken",
,,,,,,,,Clerick,LOOMs opnemen + Sales Calls,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,API Scrape 1000 backfilled profile scrapes,"€ 5,00",
,,,,,,,,,,
,,,,,,,,300 Qualified Leads,,
,,,,,,,,210 Emails Sent,,
,,,,,,,,21 positive replies,,
,,,,,,,,10 meetings booked,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,Emails Vinden Snelheid Enrichment,2 minuten,